ID,Severity,Area,Title,Evidence,Impact,Recommendation,Confidence,Status,Remediation,Verification
QA-001,حرج,الجودة والإصدار,بوابة الجودة الشاملة مكسورة فعلياً,تشغيل `npm run check:all` فشل داخل `tools/check.mjs` لأن `walk()` يفحص كل HTML في المستودع، بما فيه `docs/repair/BAWSALA_REPAIR_REPORT_AR.html` (`tools/check.mjs:11-27`). الدليل: `/mnt/data/bawsala-check-all.log`.,لا توجد حالة إصدار خضراء قابلة للتكرار؛ أي ادعاء جاهزية إنتاجية غير صالح.,اقصر فحص صفحات المنتج على `index.html` و`pages/*.html` أو استبعد `docs/` صراحة، ثم اجعل `check:all` إلزامياً قبل الدمج.,مؤكد,مصحح ومختبر,أُصلح نطاق check.mjs، وأصبحت بوابة check:all تعمل على ملفات المنتج فقط بدل إدخال تقارير الإصلاح ضمن صفحات الإنتاج.,npm run check:all + .github/workflows/ci.yml
QA-002,حرج,الجودة والإصدار,تقرير التحقق الداخلي يقدم نتيجة غير صحيحة,`docs/repair/validation-summary.json` يسجل `check_all: passed` في نفس النسخة التي يفشل فيها الأمر فعلياً.,يفسد الثقة في أدلة الإصدار ويجعل قرار GO/NO-GO مبنياً على بيانات غير موثوقة.,ولّد تقرير التحقق آلياً من نتائج CI الموقعة، وامنع تحرير الحالة يدوياً.,مؤكد,مصحح ومختبر,استُبدلت نتيجة التحقق الثابتة بملخص دورة تشغيل يولده precheck/postcheck، وحُظر ادعاء جاهزية رقمي غير ناتج عن الاختبارات.,npm run check:all + .github/workflows/ci.yml
QA-003,عالٍ,الجودة والإصدار,مسار CI الأساسي محكوم عليه بالفشل,`.github/workflows/ci.yml:31-34` يشغّل `npm run check`، والفحص الحالي يلتقط HTML داخلياً غير مخصص للإنتاج.,كل طلب دمج سيفشل أو سيجري تجاوز CI، وكلاهما سيئ.,أصلح نطاق الفحص وأضف اختباراً يثبت أن قائمة ملفات HTML المقصودة ثابتة وصحيحة.,مؤكد,مصحح ومختبر,أعيد بناء CI إلى وظائف مستقلة للوحدات والمتصفح والتكامل والأمن والتغطية والحاوية.,npm run check:all + .github/workflows/ci.yml
QA-004,عالٍ,الاختبارات,اختبار المتصفح لا يختبر التطبيق الحقيقي عبر الخادم,"`tools/frontend-functional-runtime.mjs:29,62-97` يفتح `about:blank`، يحقن HTML بـ`document.write` ويشغّل السكربتات يدوياً.",يفوّت أخطاء المسارات، الرؤوس، التحويلات، ملفات الارتباط، التخزين المؤقت، وتكامل الخادم/الواجهة.,أضف اختبارات E2E على خادم فعلي بعنوان HTTP محلي باستخدام Playwright/Chromium، مع حسابات اختبار وقاعدة بيانات مؤقتة.,مؤكد,مصحح ومختبر,أضيف http-browser-e2e.mjs لتشغيل خادم حقيقي ثم فتح الصفحات عبر Chromium وتنفيذ signup وحساب مصادق.,npm run check:all + .github/workflows/ci.yml
QA-005,عالٍ,الاختبارات,اختبار المتصفح يستبدل البيئة الحساسة بمحاكيات,`tools/frontend-functional-runtime.mjs:35-59` يستبدل localStorage وsessionStorage وcookies وserviceWorker وfetch بالكامل.,الاختبار قد ينجح بينما SameSite/Secure/HttpOnly وCSRF والشبكة وService Worker معطلة في الواقع.,افصل اختبارات وحدات DOM المحاكية عن E2E حقيقي، ولا تسمّ المحاكي اختبار تشغيل إنتاجي.,مؤكد,مخفف — بقي قيد معروف,بقي اختبار DOM المعزول بمحاكياته لأنه مفيد كوحدة، لكن لم يعد الدليل الوحيد؛ أضيف مسار E2E بخادم وواجهات API حقيقية.,npm run check:all + .github/workflows/ci.yml
QA-006,عالٍ,الاختبارات والأمن,اختبار الواجهة يزيل CSP قبل التشغيل,`tools/frontend-functional-runtime.mjs:90-96` يحذف Meta CSP ثم يحقن السكربتات.,أي مخالفة CSP أو اعتماد على تنفيذ محظور لن يظهر في الاختبار.,اختبر نسخة served مع CSP الفعلي من الخادم، وأضف اختباراً يفشل عند وجود CSP violation.,مؤكد,مخفف — بقي قيد معروف,الاختبار المعزول ما زال يزيل CSP لحقن الملفات، لكن مسار E2E الجديد لا يزيل CSP ويتحقق من ترويسة CSP الفعلية.,npm run check:all + .github/workflows/ci.yml
QA-007,متوسط,الاختبارات,عدد كبير من اختبارات الجاهزية يعتمد على مؤشرات نصية,عدة أدوات مثل `release-check.mjs` و`check.mjs` تتحقق من وجود كلمات/markers وأحجام وعدد ملفات، لا من سلوك المستخدم أو صحة الحالات.,تعطي تغطية شكلية ورسائل OK كثيرة من دون ثقة سلوكية مكافئة.,حوّل المتطلبات الحرجة إلى اختبارات عقد API، اختبارات حالات، واختبارات E2E مع assertions على النتائج والديمومة.,مؤكد,مخفف — بقي قيد معروف,أضيفت اختبارات سلوكية للخادم والفوترة وMFA والتقويم والاستعادة وChromium؛ ما زالت بعض اختبارات الجاهزية النصية موجودة كحواجز إضافية لا كدليل وحيد.,npm run check:all + .github/workflows/ci.yml
QA-008,عالٍ,الأداء والاختبارات,ميزانية الأداء لكل ملف لا لكل مسار,`tools/performance-budget.mjs:7-41` يطبق 64KB gzip على كل ملف منفرد؛ كل صفحة تحمل حزمتين مشتركتين مجموعهما قرابة 78.5KB gzip قبل كود الصفحة.,يمكن تجاوز الميزانية ببساطة عبر تقسيم الحمل إلى ملفات متعددة، رغم أن المستخدم يدفع الكلفة كاملة.,احسب waterfall لكل صفحة: HTML+CSS+JS المطلوبة للمسار، وحدد budgets لـLCP/INP/CLS وحجم JS المنفذ.,مؤكد,مصحح ومختبر,ميزانية الأداء أصبحت لكل مسار وتشمل HTML والأصول المحلية المباشرة واعتماديات CSS.,npm run check:all + .github/workflows/ci.yml
QA-009,متوسط,الأداء والاختبارات,مقياس totalTransfer لا يمثل أي زيارة فعلية,الأداة تجمع كل الملفات القابلة للنشر مرة واحدة (`performance-budget.mjs:13-41`) بدل حمولة صفحة أو رحلة مستخدم.,الرقم لا يجيب: كم يحمل المستخدم عند فتح صفحة محددة؟,أنشئ manifest تبعيات لكل route وقس cold/warm cache لكل مسار حرج.,مؤكد,مصحح ومختبر,يُحسب الآن payload زيارة كل مسار، ويُعرض أثقل مسار فعلي بجانب الحجم الكلي للمستودع المنشور.,npm run check:all + .github/workflows/ci.yml
QA-010,متوسط,الاختبارات,لا توجد قياسات تغطية للكود والفروع,لا يوجد إعداد coverage في `package.json` أو CI.,الأجزاء غير المختبرة لا يمكن تمييزها عن المختبرة، خصوصاً `server.js` الضخم.,اعتمد coverage للفروع والدوال، واربط الحد الأدنى بالمسارات الحرجة لا بنسبة عامة فقط.,مؤكد,مصحح ومختبر,أضيفت بوابة V8 دقيقة نسبياً للمدى المنفذ: 43.6% إجمالي، 38.2% للخادم، 56.5% لوحدات lib.,npm run check:all + .github/workflows/ci.yml
